code,name,descr
Z001,IT Procurement,Information technology hardware software and IT services
Z002,Indirect Procurement,General indirect goods and services
Z003,Facilities Procurement,Facilities maintenance office infrastructure and related services
Z004,Professional Services,Consulting advisory legal and professional services
Z005,Marketing Procurement,Marketing advertising events and promotional services
Z006,Travel and Logistics,Travel transportation logistics and related services
Z007,Engineering Procurement,Engineering technical equipment and project-related materials
Z008,Human Resources Procurement,Employee services training recruitment and HR-related purchases
Z009,Finance Procurement,Finance-related services and financial operations requirements
Z010,Operations Procurement,Operational materials services and general business requirements
